CONSTIT_ID,MS_FB_PARE,MS_FB,WIKIDATA,COUNTYID,COUNTYCODE,COUNTYNAME
南投縣第01選區,country:tw/county:nan,country:tw/county:nan/county-constituency:1,Q49932606,M,10008,南投縣
南投縣第02選區,country:tw/county:nan,country:tw/county:nan/county-constituency:2,Q49933507,M,10008,南投縣
南投縣第03選區,country:tw/county:nan,country:tw/county:nan/county-constituency:3,Q49933604,M,10008,南投縣
南投縣第04選區,country:tw/county:nan,country:tw/county:nan/county-constituency:4,Q49933702,M,10008,南投縣
南投縣第05選區,country:tw/county:nan,country:tw/county:nan/county-constituency:5,Q49933800,M,10008,南投縣
嘉義市第01選區,country:tw/city:cyi,country:tw/city:cyi/county-constituency:1,Q49934181,I,10020,嘉義市
嘉義市第02選區,country:tw/city:cyi,country:tw/city:cyi/county-constituency:2,Q49934270,I,10020,嘉義市
嘉義縣第01選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:1,Q49934365,Q,10010,嘉義縣
嘉義縣第02選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:2,Q49934461,Q,10010,嘉義縣
嘉義縣第03選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:3,Q49934551,Q,10010,嘉義縣
嘉義縣第04選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:4,Q49934641,Q,10010,嘉義縣
嘉義縣第05選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:5,Q49934731,Q,10010,嘉義縣
嘉義縣第06選區,country:tw/county:cyq,country:tw/county:cyq/county-constituency:6,Q49934826,Q,10010,嘉義縣
基隆市第01選區,country:tw/city:kee,country:tw/city:kee/county-constituency:1,Q49935001,C,10017,基隆市
基隆市第02選區,country:tw/city:kee,country:tw/city:kee/county-constituency:2,Q49935099,C,10017,基隆市
基隆市第03選區,country:tw/city:kee,country:tw/city:kee/county-constituency:3,Q49935186,C,10017,基隆市
基隆市第04選區,country:tw/city:kee,country:tw/city:kee/county-constituency:4,Q49935268,C,10017,基隆市
基隆市第05選區,country:tw/city:kee,country:tw/city:kee/county-constituency:5,Q49935344,C,10017,基隆市
基隆市第06選區,country:tw/city:kee,country:tw/city:kee/county-constituency:6,Q49935428,C,10017,基隆市
基隆市第07選區,country:tw/city:kee,country:tw/city:kee/county-constituency:7,Q49935519,C,10017,基隆市
宜蘭縣第01選區,country:tw/county:ila,country:tw/county:ila/county-constituency:1,Q49935685,G,10002,宜蘭縣
宜蘭縣第02選區,country:tw/county:ila,country:tw/county:ila/county-constituency:2,Q49935767,G,10002,宜蘭縣
宜蘭縣第03選區,country:tw/county:ila,country:tw/county:ila/county-constituency:3,Q49935856,G,10002,宜蘭縣
宜蘭縣第04選區,country:tw/county:ila,country:tw/county:ila/county-constituency:4,Q49935946,G,10002,宜蘭縣
宜蘭縣第05選區,country:tw/county:ila,country:tw/county:ila/county-constituency:5,Q49936042,G,10002,宜蘭縣
